            получать|    1|    1|    1|    1|    1|    1|    1|    0|    0|    0|    1|    1|    0|    1|    1|    1|    0|    1|    1|    0|    1|    1|    1|    1|    1|    1|    1|    1|    1|    0|    1|    0|    1|    1|    0|    0|    1|    1|    1|    1|
           результат|    1|    0|    1|    1|    1|    1|    0|    0|    1|    0|    1|    1|    0|    1|    1|    1|    0|    0|    1|    0|    1|    1|    0|    1|    1|    1|    0|    0|    1|    1|    0|    0|    1|    1|    0|    0|    1|    1|    1|    1|
          изображать|    1|    0|    1|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    1|    0|    0|    1|    0|    0|    0|    0|    0|    0|    0|    0|    0|
                  на|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
           заглавный|    1|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|
            картинка|    1|    0|    1|    0|    0|    0|    0|    0|    0|    0|    0|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    0|    0|    0|    0|    0|    0|    0|    0|    1|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|
                   к|    1|    1|    1|    1|    1|    1|    1|    1|    1|    0|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
                этот|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    0|    1|    1|    1|    1|
               часть|    1|    0|    1|    1|    1|    0|    0|    1|    1|    1|    1|    1|    1|    1|    0|    1|    1|    1|    0|    0|    0|    1|    0|    1|    1|    1|    0|    0|    1|    0|    0|    1|    1|    0|    1|    1|    0|    1|    1|    0|
                   0|    1|    1|    1|    0|    1|    1|    0|    1|    1|    1|    0|    1|    1|    1|    1|    1|    0|    1|    1|    0|    1|    1|    1|    0|    1|    1|    1|    1|    1|    1|    1|    1|    0|    1|    0|    1|    1|    1|    1|    1|
         приветствие|    1|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|
                   1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    0|    1|    1|    1|    1|    1|    1|    1|    1|    0|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
